nhd_id	num_dates	num_removed	rmse	pgrnn rmse	hidden unit size*	Test Begin	Test End	Train Begin	Train End	#Train Obs	#Test Obs	
12160852	128	109	1.529109262	1.137946458	14	1999-06-24	2005-07-28	2005-08-10	2016-05-18	1772	898	
13344210	526	80	1.710986537	0.7915930773	16	1981-06-04	1993-06-14	1993-06-30	2016-11-16	7862	3951	
9022741	170	1	1.721009163	1.165257051	15	1990-09-01	2007-08-02	2007-08-11	2018-06-11	2240	1125	
1101864	117	0	1.798700046	1.156126182	12	1980-06-04	2002-09-16	2002-10-01	2017-09-27	3495	1758	
13393533	129	121	1.84255255	1.10901631	10	1998-06-16	2002-08-30	2002-09-07	2015-09-21	904	461	
2647582	133	3	1.846143439	1.150059669	9	1980-06-13	1999-05-13	1999-05-26	2014-08-06	3035	1539	
1100962	162	134	1.871677912	0.9667863275	16	1980-07-10	2002-05-21	2002-06-05	2016-09-29	2900	1459	
13393567	108	72	1.981477713	1.132950039	16	2001-05-09	2010-10-25	2010-11-01	2018-07-23	1190	597	
13343906	527	0	1.992630447	0.776354117	16	1981-04-22	1993-06-17	1993-06-29	2016-11-15	13654	6855	
120051922	378	2	2.035970506	1.300567066	11	1994-02-15	2006-05-16	2006-05-31	2017-10-11	2027	1024	
13344170	525	0	2.036499549	0.9264363458	16	1981-06-04	1993-06-15	1993-06-28	2016-11-11	8191	4113	
2723871	112	42	2.068526434	1.392544724	15	1981-02-04	1985-06-13	1985-06-29	2017-09-11	3458	1734	
1099432	189	0	2.143854305	1.212795592	9	1983-06-18	1993-08-01	1993-08-19	2016-09-14	3221	1588	
13294928	206	196	2.21331135	1.204211127	13	1983-10-07	1990-11-20	1990-12-11	2018-08-09	3779	1890	
1101754	250	0	2.21933466	1.032098663	16	1984-05-29	2000-08-21	2000-09-07	2017-11-13	5221	2637	
1101684	253	0	2.220025113	1.049731019	16	1981-05-15	2000-05-09	2000-05-22	2017-11-13	5388	2726	
1099136	196	2	2.238301408	1.383003573	15	1983-05-06	2004-04-18	2003-05-08	2017-10-10	3340	1693	
13344284	553	3	2.252144099	1.095138686	15	1981-04-23	1992-10-08	1992-10-20	2016-11-14	8005	4020	
2353946	130	110	2.2703345	1.190715475	16	1980-06-04	2005-07-18	2005-07-27	2016-09-09	2546	1283	
1101616	249	56	2.325968725	1.310883031	10	1984-05-29	2000-04-12	2000-05-09	2017-11-13	3647	1843	
2349198	161	62	2.333950679	1.189645813	9	1994-02-15	2006-05-16	2006-05-31	2017-10-11	2027	1024	
1101544	213	101	2.349554738	1.449694136	14	1992-06-12	2001-07-10	2001-07-24	2017-11-09	1787	901	
13290898	102	40	2.413346182	1.100553234	13	1986-03-14	1996-02-08	1996-04-24	2018-07-24	2568	1292	
1099282	146	2	2.440954903	2.137691785	7	1980-06-18	1994-06-03	1994-06-23	2016-09-15	1624	808	
13294464	150	128	2.451354215	1.251057938	15	1993-02-04	2006-07-06	2006-07-18	2017-09-19	1236	626	
1102086	134	1	2.46153908	1.447992104	9	1983-05-04	2002-05-02	2002-05-24	2017-10-10	3430	1727	
1101942	130	11	2.469737157	1.467049003	14	1980-07-30	1999-08-31	1999-09-16	2016-09-13	3291	1655	
2723765	145	0	2.483184096	0.9037804054	16	1981-01-27	1985-12-31	1986-02-27	2017-09-11	2630	1339	
2349188	209	0	2.504392511	1.051513771	16	1980-06-17	2001-07-24	2001-08-06	2017-10-11	3253	1639	
120052587	179	0	2.550988827	1.651284015	11	2007-05-20	2011-05-19	2011-05-24	2017-10-08	1451	736	
13293262	2617	6	2.574867768	1.10705496	16	1980-04-01	2007-10-09	2007-10-10	2017-11-13	40719	20382	
1097324	147	0	2.59491544	1.363767901	14	1980-06-17	1997-07-22	1997-08-11	2016-10-20	3561	1794	
13344056	523	70	2.604936594	1.021065522	15	1981-04-23	1993-06-30	1993-07-12	2016-11-10	3299	1657	
1101636	242	70	2.613744697	1.401966085	16	1984-05-29	2000-04-11	2000-05-09	2017-11-09	2251	1132	
1099052	193	14	2.626182365	1.143167433	14	1980-06-17	1999-06-09	1999-06-29	2016-09-21	2793	1414	
14783883	148	15	2.652366583	2.190537703	8	1996-06-18	2007-07-26	2007-08-03	2017-10-08	1577	802	
4250586	161	88	2.660177901	1.197016146	13	1980-06-17	2005-07-05	2005-07-19	2017-10-11	2893	1460	
2648034	150	134	2.67208385	1.465581709	16	1981-01-23	1995-09-18	1996-05-09	2017-10-10	3340	1693	
1102088	128	4	2.760469063	1.115389865	10	1984-04-17	1999-04-21	1999-05-12	2017-10-10	1649	830	
4250588	199	5	2.782039946	1.383627849	12	1983-05-05	2002-05-28	2002-06-05	2017-10-10	1822	923	
1102366	106	1	2.787383695	1.078215002	12	1980-07-02	2002-06-27	2002-07-10	2016-09-12	1609	805	
2723803	143	135	2.810462102	1.694071637	10	1981-02-04	1985-10-01	1985-10-16	2017-09-07	2435	1235	**
120052022	260	0	2.884093013	1.193266078	8	1980-06-11	2002-08-15	2002-08-20	2017-10-10	3030	1520	
120053694	103	0	2.905058601	2.118214245	16	1993-05-18	2004-08-27	2005-06-21	2017-09-19	904	455	
1101506	138	52	2.92750811	2.051645938	12	1981-05-28	1994-05-13	1994-06-08	2016-09-16	962	487	
120052351	281	6	2.956411172	0.9036341829	7	1995-05-09	2003-04-15	2003-04-28	2018-07-02	5879	2960	
2385496	132	12	3.075116178	1.44649504	16	1980-06-03	2006-06-13	2006-06-27	2017-10-11	1733	888	
1101504	211	1	3.168680829	1.467049003	14	1980-06-10	1992-07-08	1992-07-27	2016-09-16	3709	1886	
12162854	141	0	3.193318814	2.387072148	16	1986-04-22	2003-06-09	2003-06-16	2018-07-25	3185	1593	
2384584	189	43	3.199299649	0.9816984363	11	1980-06-04	1998-03-31	1998-04-21	2017-10-11	2525	1322	
1099420	202	7	3.217605628	1.357756524	16	1981-04-07	1991-08-22	1991-09-10	2017-06-14	2375	1189	
1099430	136	67	3.22476604	1.229524548	13	1980-06-05	1995-07-03	1995-7-24	2016-09-12	2172	1098	
1099476	217	41	3.234186698	1.538861935	12	1981-03-12	1990-07-02	1990-07-27	2016-09-09	2546	1283	
2385648	112	69	3.286667796	1.203095576	15	1980-06-06	2006-09-26	2006-10-11	2017-10-11	1428	715	
1099450	174	1	3.316461986	1.490399252	13	1980-06-18	1993-08-19	1993-09-07	2016-09-14	2007	1016	
1101938	184	2	3.343572743	1.613012345	16	1984-05-02	2003-06-04	2003-06-18	2017-10-10	2890	1464	
2385444	128	48	3.347522436	1.650219895	14	1980-06-03	2006-07-25	2006-08-08	2017-10-11	1955	991	
1099172	203	0	3.389428835	1.024449273	15	1980-06-11	2003-05-07	2003-05-20	2017-10-10	2871	1441	
2384766	119	56	3.412662425	1.209644266	12	1980-07-02	1990-10-05	1991-04-17	2017-09-26	2344	1187	
10596466	109	2	3.484844605	1.189213203	12	1986-06-09	2010-07-15	2010-07-21	2017-09-09	1400	702	
1099526	212	36	3.533883488	1.488582039	12	1980-09-12	1994-05-13	1994-06-08	2017-07-31	2553	1281	
