nhd_id,lake_name,latitude,longitude,maxdepth,meandepth,area_km2,kd_avg
nhd_10596466,Saint Olaf Lake,43.90309032,-93.41680372,9.1,NA,0.35,1.08
nhd_1097324,White Bear Lake,45.0773045,-92.98046871,25.3,5.2,8.19,0.46
nhd_1099052,Bald Eagle Lake,45.11415825,-93.01556735,11.3,4.1,4.01,1.16
nhd_1099136,Weaver Lake,45.10976393,-93.50128226,17.3,6.4,0.57,0.59
nhd_1099172,Fish Lake (1),45.09179754,-93.46332218,18.6,6.2,0.92,1.04
nhd_1099240,Long Lake,45.07542896,-93.20247548,7.3,3.4,0.69,1.33
nhd_1099282,Snail Lake,45.07325554,-93.12605533,9.1,NA,0.64,0.54
nhd_1099420,Lake Johanna,45.04309332,-93.17008051,13.1,5.2,0.8,0.81
nhd_1099430,Silver Lake (1),45.0442005,-93.22344946,14.3,1.9,0.26,1.66
nhd_1099432,Lake Wabasso,45.04490804,-93.11576152,22.2,5.7,0.18,0.52
nhd_1099450,Lake Owasso,45.03514563,-93.12234022,11.3,3.3,1.44,0.91
nhd_1099476,Lake Josephine,45.03573992,-93.15321506,13.1,3.2,0.43,0.8
nhd_1099526,Gervais Lake,45.01983233,-93.07048067,12.6,5.8,0.87,0.88
nhd_1100962,Tanners Lake,44.95267471,-92.98143073,13.7,5.6,0.27,0.63
nhd_1101504,Lake Phalen,44.9876279,-93.0531108,27.7,7.1,0.74,0.65
nhd_1101506,Round Lake,44.99408464,-93.06272976,5.2,1.7,0.07,0.85
nhd_1101544,Wirth Lake,44.98170518,-93.32349621,7.6,3.5,0.15,0.86
nhd_1101590,Lower Lake,44.93976425,-93.55598416,31.2,6.9,28.78,0.52
nhd_1101616,Cedar Lake (1),44.95982914,-93.32136789,15.5,6,0.66,0.79
nhd_1101636,Lake of the Isles,44.95530916,-93.30680625,9.4,2.3,0.44,1.18
nhd_1101684,Lake Calhoun,44.94180224,-93.3117587,27.4,10.1,1.65,0.47
nhd_1101754,Lake Harriet,44.92173331,-93.30491681,26.4,9.8,1.35,0.54
nhd_1101778,Lake Hiawatha,44.92074184,-93.23600814,9.4,4.1,0.22,1.19
nhd_1101812,Lake Nokomis,44.90846353,-93.2420949,10,4.1,0.8,1.28
